Restaurant Name	Cuisine	Price Tier	Neighborhood	Reservation Required	Phone	Concierge Notes
Nobu Honolulu	Japanese fusion	$$$$	Waikiki	Yes	(808) 237-6999	Celebrity chef, great for VIPs
Senia	Contemporary American	$$$	Downtown Honolulu	Yes	(808) 200-5412	James Beard nominees, book weeks ahead
Vintage Cave	French	$$$$	Ala Moana	Yes	(808) 441-1744	Ultra-premium, tasting menu only
Mud Hen Water	Hawaii Regional	$$$	Kaimuki	Yes	(808) 737-6000	Local favorite, creative menu
Highway Inn	Hawaiian plate	$	Kaka'ako	No	(808) 954-4955	Best poi and kalua pork on island
Roy's Waikiki	Hawaii fusion	$$$	Waikiki	Yes	(808) 923-7697	Consistent, good for groups
Piggy Smalls	Asian fusion	$$	Kaimuki	No	(808) 744-0800	Casual, creative, no reservations
Merriman's Honolulu	Hawaii Regional	$$$	Waikiki	Yes	(808) 215-4575	Farm-to-table, ocean view
The Pig and the Lady	Vietnamese	$$	Chinatown	Yes	(808) 585-8255	Lively, reservations go fast
Livestock Tavern	American gastropub	$$	Chinatown	Yes	(808) 537-2577	Best burger in Honolulu per locals
Alan Wong's	Hawaii Regional	$$$	Moiliili	Yes	(808) 949-2526	Honolulu institution, business dinners
Side Street Inn	Local bar food	$	Kapiolani	No	(808) 591-0253	Late night, cash preferred, authentic local
