Response ID	Stay Date	Room Type	Category	Score (0-10)	Verbatim Comment
QX-2025-8801	Oct 12, 2025	Ocean View King	Overall	10	Absolutely perfect stay. Staff remembered my name after the first hour.
QX-2025-8802	Oct 13, 2025	Standard King	F&B	7	Food was good but wait times at breakfast were long on Sunday.
QX-2025-8803	Oct 14, 2025	Suite	Housekeeping	10	The room was immaculate. The turndown service was a lovely touch.
QX-2025-8804	Oct 14, 2025	Standard King	Front Desk	8	Check-in was smooth. The staff member offered great restaurant tips.
QX-2025-8805	Oct 15, 2025	Ocean View King	Overall	9	One of the best hotels I have stayed at in Waikiki. Will be back.
QX-2025-8806	Oct 16, 2025	Standard King	Room	6	AC unit made noise at night. Maintenance came but it returned next day.
QX-2025-8807	Oct 17, 2025	Ocean View King	Concierge	10	Concierge got us last-minute luau tickets. Incredible service.
QX-2025-8808	Oct 18, 2025	Suite	Overall	9	Wonderful anniversary trip. The surprise flowers in the room were a beautiful touch.
QX-2025-8809	Oct 19, 2025	Standard King	Pool	8	Pool area is lovely. Could use more towel attendants on peak afternoons.
QX-2025-8810	Oct 19, 2025	Standard King	F&B	9	The happy hour at Wai Lounge was the highlight. Great cocktails.
QX-2025-8811	Oct 20, 2025	Ocean View King	Front Desk	5	Had to ask three times about a late checkout. Eventually resolved but frustrating.
QX-2025-8812	Oct 21, 2025	Standard King	Overall	10	Third time staying here. It keeps getting better. The GM clearly cares about this place.
QX-2025-8813	Oct 22, 2025	Suite	Housekeeping	9	Very clean and well-stocked. Appreciated the premium bath products.
QX-2025-8814	Oct 23, 2025	Ocean View King	Overall	8	Great location and friendly team. Valet was a bit slow on departure day.
QX-2025-8815	Oct 24, 2025	Standard King	Room	7	Room was comfortable but could use an update to the bathroom fixtures.
